id,nome,descricao,valorPadrao,dataCadastro
1,Camiseta,Camiseta azul algodao,25.90,2024-01-15 10:00:00
2,Calca Jeans,Calca jeans masculina,89.90,2024-01-15 10:05:00
3,Tenis Esportivo,Tenis para corrida,129.90,2024-01-15 10:10:00
4,Moletom,Moletom com capuz,79.90,2024-01-15 10:15:00
5,Bermuda,Bermuda de praia,45.90,2024-01-15 10:20:00
6,Jaqueta,Jaqueta de couro,199.90,2024-01-15 10:25:00
7,Blusa Feminina,Blusa de seda,65.90,2024-01-15 10:30:00
8,Sapato Social,Sapato social masculino,159.90,2024-01-15 10:35:00
9,Vestido,Vestido de festa,125.90,2024-01-15 10:40:00
10,Shorts,Shorts esportivo,35.90,2024-01-15 10:45:00
11,Camisa Polo,Camisa polo masculina,55.90,2024-01-15 10:50:00
12,Saia,Saia midi feminina,49.90,2024-01-15 10:55:00
13,Bota,Bota de inverno,179.90,2024-01-15 11:00:00
14,Sueter,Sueter de la,85.90,2024-01-15 11:05:00
15,Chinelo,Chinelo de borracha,19.90,2024-01-15 11:10:00
16,Blazer,Blazer feminino,149.90,2024-01-15 11:15:00
17,Tenis Casual,Tenis casual unissex,95.90,2024-01-15 11:20:00
18,Legging,Legging fitness,39.90,2024-01-15 11:25:00
19,Camisa Social,Camisa social masculina,75.90,2024-01-15 11:30:00
20,Casaco,Casaco de inverno,119.90,2024-01-15 11:35:00
